ID,answer
TG_A_J_20230304,19.78
TG_A_J_20230305,0.0
TG_A_J_20230306,2076.65
TG_A_J_20230307,1795.56
TG_A_J_20230308,1699.25
TG_A_J_20230309,1668.15
TG_A_J_20230310,1709.68
TG_A_J_20230311,1909.59
TG_A_J_20230312,0.0
TG_A_J_20230313,1794.07
TG_A_J_20230314,1911.51
TG_A_J_20230315,1993.86
TG_A_J_20230316,2227.37
TG_A_J_20230317,2149.58
TG_A_J_20230318,2060.36
TG_A_J_20230319,0.0
TG_A_J_20230320,2010.15
TG_A_J_20230321,1959.09
TG_A_J_20230322,2269.53
TG_A_J_20230323,1993.4
TG_A_J_20230324,1553.24
TG_A_J_20230325,1909.22
TG_A_J_20230326,0.0
TG_A_J_20230327,408.42
TG_A_J_20230328,492.25
TG_A_J_20230329,1968.69
TG_A_J_20230330,2371.43
TG_A_J_20230331,2252.96
TG_A_S_20230304,2600.2
TG_A_S_20230305,2074.42
TG_A_S_20230306,1794.06
TG_A_S_20230307,2506.62
TG_A_S_20230308,2484.43
TG_A_S_20230309,1723.52
TG_A_S_20230310,2635.4
TG_A_S_20230311,2392.62
TG_A_S_20230312,0.0
TG_A_S_20230313,2267.66
TG_A_S_20230314,2270.5
TG_A_S_20230315,2240.27
TG_A_S_20230316,2419.36
TG_A_S_20230317,2548.43
TG_A_S_20230318,2499.12
TG_A_S_20230319,0.0
TG_A_S_20230320,2878.93
TG_A_S_20230321,2856.3
TG_A_S_20230322,2872.93
TG_A_S_20230323,2888.47
TG_A_S_20230324,3035.06
TG_A_S_20230325,3137.53
TG_A_S_20230326,0.0
TG_A_S_20230327,3404.74
TG_A_S_20230328,3271.16
TG_A_S_20230329,3349.21
TG_A_S_20230330,3629.24
TG_A_S_20230331,4156.57
TG_B_J_20230304,3600.64
TG_B_J_20230305,0.0
TG_B_J_20230306,3542.3
TG_B_J_20230307,5284.94
TG_B_J_20230308,4245.35
TG_B_J_20230309,4070.31
TG_B_J_20230310,4557.01
TG_B_J_20230311,4236.66
TG_B_J_20230312,0.0
TG_B_J_20230313,3889.45
TG_B_J_20230314,4307.93
TG_B_J_20230315,4445.9
TG_B_J_20230316,5612.66
TG_B_J_20230317,4433.35
TG_B_J_20230318,3893.26
TG_B_J_20230319,0.0
TG_B_J_20230320,3341.2
TG_B_J_20230321,4301.24
TG_B_J_20230322,1775.39
TG_B_J_20230323,6007.09
TG_B_J_20230324,6046.69
TG_B_J_20230325,4682.19
TG_B_J_20230326,0.0
TG_B_J_20230327,4420.05
TG_B_J_20230328,3864.0
TG_B_J_20230329,1739.48
TG_B_J_20230330,920.29
TG_B_J_20230331,6319.01
TG_B_S_20230304,5012.64
TG_B_S_20230305,0.0
TG_B_S_20230306,5752.96
TG_B_S_20230307,5425.21
TG_B_S_20230308,5290.31
TG_B_S_20230309,5964.34
TG_B_S_20230310,5141.55
TG_B_S_20230311,4902.08
TG_B_S_20230312,0.0
TG_B_S_20230313,5381.28
TG_B_S_20230314,5262.86
TG_B_S_20230315,4792.62
TG_B_S_20230316,4619.36
TG_B_S_20230317,5345.22
TG_B_S_20230318,4883.42
TG_B_S_20230319,0.0
TG_B_S_20230320,5002.18
TG_B_S_20230321,5619.04
TG_B_S_20230322,5554.56
TG_B_S_20230323,5441.89
TG_B_S_20230324,5251.91
TG_B_S_20230325,4720.18
TG_B_S_20230326,0.0
TG_B_S_20230327,5510.28
TG_B_S_20230328,5454.41
TG_B_S_20230329,5532.87
TG_B_S_20230330,5598.96
TG_B_S_20230331,5485.65
TG_C_J_20230304,6016.34
TG_C_J_20230305,0.0
TG_C_J_20230306,6147.76
TG_C_J_20230307,5941.48
TG_C_J_20230308,14443.65
TG_C_J_20230309,12426.93
TG_C_J_20230310,10631.43
TG_C_J_20230311,6690.64
TG_C_J_20230312,0.0
TG_C_J_20230313,5683.17
TG_C_J_20230314,6457.74
TG_C_J_20230315,8830.48
TG_C_J_20230316,12961.94
TG_C_J_20230317,13368.7
TG_C_J_20230318,9767.01
